	C_1_8_siA1	C_1_8_siA2	C_1_8_siA3	C_1_8_siC1	C_1_8_siC2	C_1_8_siC3	C_4_2_siA1	C_4_2_siA2	C_4_2_siA3	C_4_2_siC1	C_4_2_siC2	C_4_2_siC3	C_Ctrl_siA1	C_Ctrl_siA2	C_Ctrl_siA3	C_Ctrl_siC1	C_Ctrl_siC2	C_Ctrl_siC3	P_siA1	P_siA2	P_siA3	P_siC1	P_siC2	P_siC3
ENSG00000186710.12	0.100092814143081	0.483730533588146	0	0.161499741814135	0.243083586749424	0.0926346069005264	0.188978857738368	0.221826897531979	0.107940195729054	0.479429894350771	0.198202035583356	0.114834681262332	0.246654604662164	0.0997474176821982	0.0690419440288445	0.0503132301141742	0.166280197835848	0	0.0998974052114657	0.0998938985378518	0	0.0742636671740812	0.168605308928083	0.0504552021277677
ENSG00000186714.13	0.104558335984144	0.16488786049619	0.067112278346789	0.0650532263044562	0.0796918281887171	0.0333162945964835	0.0952715922218384	0.0584006767504251	0	0.0492114847004126	0	0.0462141753814135	0.019918921147529	0.0519892130509986	0	0.222017218734305	0	0.0606583305214866	0	0.0207160100857557	0.0902495088127873	0	0.104799644632821	0
ENSG00000186716.21	32.1599899361442	34.2992007460107	31.8123021883057	35.7716984150186	40.2939661278684	33.4693516238449	28.9279316466747	26.4398210423836	34.6311261657271	33.7565525837772	27.2365637818787	34.0662261699937	31.6518011198085	28.9183232238676	30.2996321727673	31.5421346792003	29.3174858861756	39.7072638184354	33.9873079728304	33.0869073782854	30.1805892750899	33.503128613187	33.7006256514938	31.1110683917098
ENSG00000186723.4	0.0153602674507258	0.0732735930458708	0.0833293588569432	0.0332084632088316	0.0450913243658913	0.0692915283261203	0.0145209360289661	0.034392798836552	0.0805777130811244	0.0248461349115425	0	0.0175868822883982	0.0303420350127106	0.0613827375246425	0.0731249750577473	0.151374188404037	0	0.221314493008098	0.0153778034861785	0.0751922536305163	0.0275099943297834	0	0	0
ENSG00000186732.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.039915770092434	0	0	0	0	0	0
ENSG00000186765.12	0.82142086357516	0.631229267592841	1.4690477000558	0.966001450068874	0.45204855423497	0.85374073127707	0.721529760957335	0.847076679668877	0.350175487740879	0.907435070191807	0.567221297694558	1.32336907096333	1.07540434651207	1.87114961203369	0.706357865061001	1.49034770072654	0.914464239232343	1.41001961467347	0.195468594927526	0.641218609272138	0.634157994088133	0.639328982610726	0.536978596069892	0.325903604644791
ENSG00000186766.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186767.7	5.26257340359629	4.82209668057008	5.58522596180402	4.10001652752937	4.26421875868054	5.290284195978	4.55394108705014	4.91188303275444	4.4180350871813	5.14775813291574	4.99338422205197	4.23664546604524	3.65409001124189	3.72908703488354	3.48208689794418	3.28807613799572	3.2456234820166	3.11461523653491	6.27122361728902	6.67166687345511	7.09636946340607	4.34995706211398	4.24337626947607	4.98205029936117
ENSG00000186777.12	0.0330326904806833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0294471861670776	0	0	0
ENSG00000186787.10	4.28982784855068	3.29445911640652	7.038818401677	3.34881280930191	3.85937798828325	4.28294166357429	4.02929381396118	4.64824043011378	3.73796782432912	3.7750508848204	4.89097759131013	4.00562506907469	6.59776267975851	3.34590182072741	5.6082867621951	4.1006954781037	4.85257064708976	3.39972707239101	5.59814451637546	4.53293369606303	6.52952738463391	3.52075195129942	3.46666572743453	4.43839214170672
