baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ensembl_id	gene_name	biotype	description2	medianTPM_WT	medianTPM_HET
ENSG00000172380	160.78845039783	10.81078892401	1.21853201263442	243.841324138794	5.71679328153033e-55	7.39780273455175e-53	ENSG00000172380	GNG12	protein_coding	G protein subunit gamma 12 	0	4.45048369251418
ENSG00000060709	364.780851954268	7.25054393735983	0.510652979191923	243.349461187736	7.31802860203938e-55	9.35846716519624e-53	ENSG00000060709	RIMBP2	protein_coding	RIMS binding protein 2 	0.091306511254479	12.7541024184906
ENSG00000027075	1862.86555937205	-2.05095698730932	0.127578481225755	243.008519093267	8.68421823723426e-55	1.09764479347368e-52	ENSG00000027075	PRKCH	protein_coding	protein kinase C eta 	60.2888410173527	14.6101355377873
ENSG00000151948	454.42128771722	-5.43272205649132	0.32940623047857	242.124905201479	1.35328626346776e-54	1.69083007860858e-52	ENSG00000151948	GLT1D1	protein_coding	glycosyltransferase 1 domain containing 1 	22.934313386789	0.380934814835143
ENSG00000010810	1322.02390682246	-3.09927752597975	0.187617594599005	241.068896570704	2.29953739537383e-54	2.84045130542199e-52	ENSG00000010810	FYN	protein_coding	FYN proto-oncogene, Src family tyrosine kinase 	107.849464147162	11.4835932028518
ENSG00000168952	452.577627891796	3.49947853728094	0.217614798207185	235.496558562527	3.77306987341683e-53	4.60823253079111e-51	ENSG00000168952	STXBP6	protein_coding	syntaxin binding protein 6 	2.88845696463568	35.1316441901981
ENSG00000119042	525.436337310956	4.20659722307888	0.256184772000227	235.350271142788	4.06064072419185e-53	4.90435163021837e-51	ENSG00000119042	SATB2	protein_coding	SATB homeobox 2 	0.701733175559094	13.3010607136065
ENSG00000290919	334.774888518514	5.2446598436341	0.334225252051263	234.021785068601	7.91207873087616e-53	9.45102151699163e-51	ENSG00000290919	UBBP4	lncRNA	ubiquitin B pseudogene 4 	1.06360827626109	34.7044082294988
ENSG00000198807	332.048476123549	7.01027713399246	0.47853133736085	233.676113522549	9.41175292725719e-53	1.11201906868789e-50	ENSG00000198807	PAX9	protein_coding	paired box 9 	0.114300552599965	11.4595382516662
ENSG00000176049	238.459789420579	8.96605078782454	0.849604333123697	233.032585229791	1.30018370583036e-52	1.51967708412645e-50	ENSG00000176049	JAKMIP2	protein_coding	janus kinase and microtubule interacting protein 2 	0.0120725225954235	10.9274055026785
ENSG00000169760	128.827699522467	10.01068891409	1.17155729115305	232.880176815728	1.4035912653269e-52	1.62308904830887e-50	ENSG00000169760	NLGN1	protein_coding	neuroligin 1 	0	2.34841828096775
ENSG00000167693	274.002573885377	4.34174523871792	0.280606144634876	228.72962585469	1.12821863302901e-51	1.29091963589741e-49	ENSG00000167693	NXN	protein_coding	nucleoredoxin 	0.642210646430987	14.0251612683201
ENSG00000156140	246.599532254565	4.65710782607821	0.304636350182203	227.512859330571	2.07854321394032e-51	2.35351715995118e-49	ENSG00000156140	ADAMTS3	protein_coding	ADAM metallopeptidase with thrombospondin type 1 motif 3 	0.221985556708968	5.49274855672447
ENSG00000174500	720.056459344575	-2.73610177701109	0.17417191448527	226.612732791286	3.26642320640242e-51	3.66041445913343e-49	ENSG00000174500	GCSAM	protein_coding	germinal center associated signaling and motility 	41.5143466061288	6.07594764766772
ENSG00000150394	317.29739439158	6.11981523058684	0.453505230481739	224.010979598099	1.20648437339013e-50	1.33522308805496e-48	ENSG00000150394	CDH8	protein_coding	cadherin 8 	0.792070388243415	40.1414419029691
ENSG00000179676	225.240214456756	-4.58367696173478	0.304860237988645	223.995217773598	1.21607254569863e-50	1.33522308805496e-48	ENSG00000179676	LINC00305	lncRNA	long intergenic non-protein coding RNA 305 	58.4503460877687	2.60459642225119
ENSG00000092051	521.337826471129	5.25782461526261	0.323373557465455	222.859411236173	2.15125036088721e-50	2.3384091422844e-48	ENSG00000092051	JPH4	protein_coding	junctophilin 4 	0.503057491934045	20.2339510199844
ENSG00000106789	435.924831322862	3.93928747709519	0.249046836739322	221.510521745615	4.23550587511952e-50	4.55841077847021e-48	ENSG00000106789	CORO2A	protein_coding	coronin 2A 	0.549269727282086	8.95487983015717
ENSG00000286103	150.30768134687	9.75233610831095	1.22097137525013	220.900588176074	5.75365913250584e-50	6.13159556571946e-48	ENSG00000286103		lncRNA	novel transcript	0	26.0618525595864
ENSG00000106123	277.424886525354	3.70407864375479	0.245120149776504	220.509419622758	7.00271986281836e-50	7.3902490202753e-48	ENSG00000106123	EPHB6	protein_coding	EPH receptor B6 	0.77136797242786	10.2630143875429
ENSG00000088387	316.33698204852	-4.04142965776705	0.26830752698668	220.256641299986	7.95066993995332e-50	8.30997906223967e-48	ENSG00000088387	DOCK9	protein_coding	dedicator of cytokinesis 9 	16.4161063094805	1.02484805661358
ENSG00000197461	303.31488002259	-4.44231436121739	0.290629431202823	219.324021036929	1.27008517942165e-49	1.3148405619346e-47	ENSG00000197461	PDGFA	protein_coding	platelet derived growth factor subunit A 	19.262373538716	0.883920965354014
ENSG00000163661	255.276050981103	5.0546662420038	0.338102080999801	215.183560044914	1.01630446080471e-48	1.04219146122144e-46	ENSG00000163661	PTX3	protein_coding	pentraxin 3 	0.653688376879839	18.0695338896649
ENSG00000142347	423.783327426918	5.48953774832498	0.3520743850351	211.198766462522	7.52198397033362e-48	7.64149212687163e-46	ENSG00000142347	MYO1F	protein_coding	myosin IF 	0.700746314746869	29.6048942441201
