gene_id	baseMean	log2FC_MLE	lfcSE	stat	pvalue	padj	log2FC_shr	delta_counts	median_TPM_A	median_TPM_B
ENSG00000137747.16	288.8924496	1.224494234	0.1874804697	41.95624002	9.33E-11	3.25E-09	1.167703962	-249.4429121	4.333011846	11.08612978
ENSG00000123843.13	256.2804229	-1.265944878	0.1969074447	40.53909948	1.93E-10	6.35E-09	-1.204040855	205.9866734	30.41933525	13.73918131
ENSG00000171246.7	152.4903442	-1.392519347	0.2176634544	40.41244675	2.06E-10	6.73E-09	-1.323366559	152.5033503	2.79430241	0.9933415519
ENSG00000234444.10	48.52794431	-3.060874927	0.4898254891	39.79162256	2.83E-10	9.11E-09	-2.895702897	67.49815229	1.134300227	0.1396619951
ENSG00000187867.10	118.2138468	1.504437822	0.2406801232	38.75893493	4.80E-10	1.50E-08	1.426474319	-104.7450569	1.791574409	5.023007553
ENSG00000182326.17	188.8691982	1.125491382	0.1821001588	38.06397845	6.85E-10	2.09E-08	1.06745105	-139.891753	2.983634452	6.828026656
ENSG00000019549.13	132.9744547	-1.462831332	0.2370826405	37.5769951	8.79E-10	2.65E-08	-1.384112101	109.2321419	5.956491888	2.503453038
ENSG00000102271.14	29.27562903	-3.610263348	0.5953008056	37.22528373	1.05E-09	3.14E-08	-3.397556327	55.28903546	0.8975238051	0.04640465847
ENSG00000196549.13	94.79546449	1.980521475	0.3233717989	36.58675956	1.46E-09	4.26E-08	1.871132198	-122.8482442	1.031187759	3.933521821
ENSG00000143507.18	124.582075	-1.503421162	0.2481397118	36.12538775	1.85E-09	5.28E-08	-1.419117924	119.8067029	5.658825076	1.829889363
ENSG00000167741.11	96.41674658	1.643611812	0.2759239632	35.90021562	2.08E-09	5.87E-08	1.549036486	-86.58499397	1.884282873	5.484106524
ENSG00000067798.16	369.6718346	-1.10896801	0.1853125826	35.25721984	2.89E-09	7.93E-08	-1.047173087	252.6878871	8.510952485	4.261504015
ENSG00000084110.11	112.6575099	1.644941616	0.2791102071	33.81910719	6.05E-09	1.59E-07	1.547262927	-128.9892666	1.177818206	4.586379709
ENSG00000079112.10	44.38186867	-2.195039614	0.3812090174	33.17198845	8.44E-09	2.17E-07	-2.055340345	60.24724605	1.513499965	0.2937760124
ENSG00000114279.15	37.85446394	2.827114308	0.5054183247	33.14664164	8.55E-09	2.19E-07	2.635853811	-52.70781956	0.9859266095	6.075429039
ENSG00000011590.14	60.15233543	-1.929705271	0.3354521466	33.05138887	8.98E-09	2.29E-07	-1.807779933	70.39871757	4.379313746	1.102292867
ENSG00000068078.20	93.53811864	1.722873163	0.2985930343	32.60305124	1.13E-08	2.83E-07	1.615985977	-89.58659708	0.7260651186	2.302640513
ENSG00000183287.15	117.1627434	-1.913625682	0.3301088982	32.37831945	1.27E-08	3.17E-07	-1.794160192	156.3720694	2.993421581	0.5978994176
ENSG00000150556.17	182.9322589	1.085990027	0.1942766437	31.04184318	2.53E-08	5.95E-07	1.017053733	-132.3205925	6.515200048	15.04660877
ENSG00000182809.11	95.74790394	1.567385753	0.2813683333	30.67715479	3.05E-08	7.06E-07	1.463442566	-83.9744627	3.055709671	8.81891925
ENSG00000166250.12	113.0737965	-1.471675593	0.2645223849	30.38800046	3.54E-08	8.15E-07	-1.37247759	92.17507701	2.188555272	0.899860836
ENSG00000167676.5	118.653183	1.2534891	0.2295785493	29.69452598	5.06E-08	1.14E-06	1.168323554	-89.28373652	0.6948343407	1.588739652
ENSG00000185477.5	53.49314758	1.996202203	0.3664398197	29.56675287	5.40E-08	1.21E-06	1.855162093	-60.64760374	0.09874249164	0.4144037496
ENSG00000281991.2	233.9092101	-1.124067637	0.2069294533	29.11607989	6.82E-08	1.51E-06	-1.047052755	134.8373623	13.75649415	7.508748295
ENSG00000171522.6	119.4153876	-1.314639779	0.2429104212	28.98467842	7.30E-08	1.59E-06	-1.222206589	107.2571836	3.617948671	1.489967044
ENSG00000172955.17	94.21180972	1.429382211	0.2646498882	28.91877652	7.55E-08	1.64E-06	1.328802843	-80.98322978	1.739011733	4.378256384
ENSG00000197959.15	158.6334621	1.142869358	0.2119665311	28.85958347	7.78E-08	1.68E-06	1.063941935	-137.0107269	0.8678116592	2.287426653
ENSG00000059377.18	62.39937665	1.68354404	0.3150523759	28.75753588	8.20E-08	1.76E-06	1.560514156	-64.84401516	1.761977986	5.354053886
ENSG00000152953.13	71.48119714	1.688541317	0.3208325856	27.41212149	1.64E-07	3.34E-06	1.561135203	-84.09141976	0.6216110324	2.30161333
ENSG00000171243.8	114.261348	1.207249221	0.2319961735	26.97974247	2.06E-07	4.11E-06	1.116724673	-83.68289327	2.559749372	5.985886758
ENSG00000179361.18	149.0748797	-1.117009421	0.2156024866	26.63187743	2.46E-07	4.86E-06	-1.032460256	104.9334624	3.065430403	1.492908586
ENSG00000120784.17	101.2026029	-1.472628138	0.2839498433	26.3288078	2.88E-07	5.61E-06	-1.357138835	85.82873887	2.438757257	0.819560769
ENSG00000198535.5	85.50564114	1.310249278	0.2561979164	26.12943265	3.19E-07	6.14E-06	1.20738456	-72.27963252	0.9327314462	2.410783432
ENSG00000229544.9	51.92301265	1.830595887	0.3584979864	25.93480079	3.53E-07	6.70E-06	1.682521636	-51.02069525	0.4827061324	1.538808507
ENSG00000276170.6	127.0151497	1.121954148	0.2218160577	25.48506749	4.46E-07	8.31E-06	1.033412323	-97.79798349	13.19805355	30.41356444
ENSG00000138696.11	200.9940979	1.133832808	0.224528082	25.1398758	5.33E-07	9.80E-06	1.043593803	-126.7959316	1.755290445	3.586049444
ENSG00000159167.12	53.59048307	1.782514667	0.3586554283	24.49333649	7.46E-07	1.31E-05	1.629740407	-64.8524029	0.4122610875	1.567494944
ENSG00000273760.1	101.9755444	-1.229817042	0.2523361853	23.65121461	1.15E-06	1.96E-05	-1.122563632	75.26586076	16.07569203	7.263722244
ENSG00000112182.16	72.83086576	-1.541891212	0.3144583518	23.45200599	1.28E-06	2.15E-05	-1.403748508	71.43014093	1.64469087	0.5342399232
ENSG00000123096.12	72.67973379	1.775647413	0.3627364848	23.29082499	1.39E-06	2.30E-05	1.617546838	-91.7796257	0.6288641471	2.472257273
ENSG00000074047.22	116.3942353	-1.247944895	0.2573120554	23.19580231	1.46E-06	2.41E-05	-1.136947676	100.1547871	1.706733713	0.7121737824
ENSG00000157765.13	65.35522251	1.424044554	0.3003313603	22.56051265	2.04E-06	3.27E-05	1.291152524	-63.14638416	0.6945994788	1.976878434
ENSG00000015520.15	65.97833473	1.451959629	0.3060292757	22.4523967	2.15E-06	3.44E-05	1.316502083	-68.04907053	0.4064176382	1.353159151
ENSG00000240476.1	61.20488178	-1.533854096	0.322619225	22.42994839	2.18E-06	3.48E-05	-1.389204735	58.43591354	7.518561872	2.59024565
ENSG00000167613.16	51.37442325	1.770402166	0.3719636637	22.40658919	2.21E-06	3.51E-05	1.603356172	-51.938408	0.848059439	2.742372894
ENSG00000166278.16	58.72958647	2.058689951	0.4288686063	22.04428186	2.66E-06	4.14E-05	1.863625703	-53.84096147	1.151300662	3.517059224
ENSG00000153930.13	81.05848129	1.399369103	0.2961890253	22.00239466	2.72E-06	4.20E-05	1.266932265	-70.04979699	0.6855762475	1.764376332
ENSG00000107159.14	55.3745024	1.83870741	0.3953864825	21.29659293	3.93E-06	5.83E-05	1.655681451	-62.22931827	1.563660963	5.479875308
ENSG00000142619.4	56.7957011	1.707095064	0.3681173225	21.28103914	3.97E-06	5.87E-05	1.537657951	-51.91906128	0.6551425859	1.765539759
ENSG00000104081.14	168.0359214	1.114850286	0.2401782016	21.20746757	4.12E-06	6.09E-05	1.008173865	-78.93873715	1.889232916	3.315799559
