gene_id	baseMean	log2FC_MLE	lfcSE	stat	pvalue	padj	log2FC_shr	delta_counts	median_TPM_A	median_TPM_B
ENSG00000259602.1	7.329517564	0.5359858308	0.884968086	0.3682912103	0.5439371814	6.88E-01	0.07241595925	3.259216841	1.494995474	0.9498468202
ENSG00000259605.3	16.97086842	0.1531496447	0.6681887386	0.05270730565	0.8184175922	8.90E-01	0.03262203954	4.510819698	1.115602563	0.9102427837
ENSG00000259623.1	339.8068699	-0.5174719175	0.1635546551	9.975234018	0.001586598292	6.24E-03	-0.462368955	-125.856329	5.96610826	9.088217752
ENSG00000259642.2	62.08705815	0.5195330547	0.3699387704	1.971487948	0.1602900132	2.87E-01	0.2767369834	7.540585969	1.00260279	0.8958758761
ENSG00000259661.1	12.03116689	-1.127076704	3.454562754	0.1038406961	0.7472684406	8.43E-01	-0.01032315028	-11.23903752	0	1.282396873
ENSG00000259663.2	19.18078584	-0.9455643034	0.660154177	2.03537746	0.1536760302	2.77E-01	-0.2358157936	-13.70358006	0.2316488156	0.6425581678
ENSG00000259673.6	107.7310523	-0.06886948114	0.253600538	0.07774244793	0.7803804114	8.66E-01	-0.04442790622	-19.07578637	1.893187306	2.296055569
ENSG00000259727.1	10.30326631	-0.1274012222	0.7745811127	0.02787508586	0.867402832	9.20E-01	-0.0208257517	0.1910878214	0.6440345164	0.6599759202
ENSG00000259768.8	246.8826886	0.1909624347	0.161865865	1.391048958	0.2382280355	3.84E-01	0.1593939971	43.75941285	5.515902579	4.720213214
ENSG00000259802.3	35.98143374	-0.358019405	0.4138634762	0.7456319651	0.3878627101	5.46E-01	-0.1538925033	-10.67323359	2.26158144	3.048053947
ENSG00000259820.1	210.6919243	-1.052815037	0.2004694858	27.32663856	1.72E-07	1.55E-06	-0.9869195304	-135.8195327	1.581728443	2.932997378
ENSG00000259863.1	24.66890411	-0.8523520184	0.5265476134	2.619706935	0.1055439321	2.08E-01	-0.3258345859	-23.01767824	0.5539678802	1.637419423
ENSG00000259865.1	34.45844031	0.7566417437	0.4135062549	3.343225616	0.06748219845	1.46E-01	0.4114140355	20.78969166	2.910852653	1.654409609
ENSG00000259877.3	43.4784429	-0.282242316	0.3785894847	0.5576155315	0.4552225797	6.09E-01	-0.1326791113	-17.55538049	0.887209715	1.419908315
ENSG00000259891.1	23.69621109	-1.336313549	0.5014744289	7.071265703	0.007832990211	2.47E-02	-0.9048095302	-21.49742721	0.4223301518	1.085872151
ENSG00000259933.6	43.21771804	-1.025291785	0.3729542414	7.546784171	0.006011726674	1.97E-02	-0.7667944067	-25.64831343	5.428889338	10.34843087
ENSG00000259943.2	79.71584037	-0.4319334671	0.2947122169	2.14966335	0.1426011544	2.62E-01	-0.2781016765	-37.70210957	2.699244405	4.428138518
ENSG00000259953.2	108.3127918	0.9786365805	0.2439243638	16.00408149	6.32E-05	3.49E-04	0.8749934986	58.21028987	2.590220156	1.375615884
