baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	expressionko	expressionwt	ensembl	description	gene_biotype	entrezgene_id
FBgn0053497	40.4480228389093	-8.56574138996619	1.23985131519188	103.345430846531	2.81523079436005e-24	5.17533261029857e-22	0	2.56911474244121	FBgn0053497	Sperm-specific dynein intermediate chain 2	protein_coding	2768883
FBgn0050104	1026.05198065461	2.77278491502521	0.257389559984021	102.967077779573	3.40764255344057e-24	6.13653834521625e-22	39.3726558010495	8.34250596313951	FBgn0050104	Ecto-5'-nucleotidase 2	protein_coding	246458
RR48347_transposable_element	236.656426649728	6.18104171856782	0.552453457279419	102.742790136421	3.81612157820587e-24	6.73469136121771e-22	3.70662983359071	0.0898645028812684	RR48347_transposable_element		transposable_element	NA
FBgn0034624	108.683711459347	4.24840394213656	0.409236370587269	102.484092851036	4.34845386538234e-24	7.52367782512428e-22	10.3945760093587	0.607370723014834	FBgn0034624		protein_coding	37441
FBgn0032833	5174.26098642358	1.19451164107945	0.117719833016497	100.319059766188	1.29722432945423e-23	2.20128990059695e-21	551.423612989867	359.237099361564	FBgn0032833	Cytochrome c oxidase subunit 4	protein_coding	35279
FBgn0031678	181.144311944657	3.0838992745153	0.297451915180391	99.4928685082587	1.96870985795344e-23	3.2777161861474e-21	6.47628947107103	0.912497846490265	FBgn0031678	Neprilysin-like 3	protein_coding	326172
FBgn0046875	387.651095988953	1.84716317847538	0.182956892504748	98.0970591027932	3.98370047947776e-23	6.50966167239106e-21	74.8120215959615	27.9712730211535	FBgn0046875	Odorant-binding protein 83g	protein_coding	170878
FBgn0010295	2051.66076810046	3.02662325158922	0.284197658575599	97.8883999808935	4.42639147442633e-23	7.10154152187962e-21	404.306454880967	76.7904707087504	FBgn0010295	new glue 3	protein_coding	31299
FBgn0086450	1592.69627793136	2.05959249495912	0.202150765517326	96.6348719242453	8.33669396714806e-23	1.31362477796633e-20	33.34726224471	10.7644303895939	FBgn0086450	suppressor of rudimentary	protein_coding	31858
FBgn0037069	730.067856111924	4.29152109499864	0.389185662306083	95.7701313354113	1.29027763713252e-22	1.99744032808024e-20	175.898762234014	16.250677006859	FBgn0037069	Cuticular protein 78Cc	protein_coding	40355
FBgn0002933	775.817486980348	3.36312177401219	0.318095155291582	94.8537736466872	2.04981079269786e-22	3.11853973013206e-20	187.258737671634	31.4817466169771	FBgn0002933	new glue 1	protein_coding	31300
FBgn0004429	108.783016842467	4.44133435385964	0.441985578463602	94.0398861781602	3.09229398135172e-22	4.62481391380467e-20	19.0598230941145	1.49330864805243	FBgn0004429	Lysozyme P	protein_coding	38129
FBgn0052212	197.607660571223	2.7701380405691	0.277517129453672	92.9444395973137	5.37831940079817e-22	7.90971506544051e-20	23.5080950904275	5.16768785093739	FBgn0052212		protein_coding	317917
FBgn0034715	140.362027813034	-4.18157479610501	0.423986496383654	90.5586388467216	1.79575266796955e-21	2.5976592692071e-19	0.325590551329782	7.60728250029379	FBgn0034715	Organic anion transporting polypeptide 58Db	protein_coding	37544
FBgn0050489	902.062606882427	2.98630668621885	0.293497104431893	90.3100481391623	2.03615899716484e-21	2.89791403080364e-19	40.8142111215276	7.76631633908605	FBgn0050489	Cytochrome P450 12d1 proximal	protein_coding	246648
FBgn0031692	595.039128352406	2.28820744366399	0.23191658835988	90.1324172101742	2.22742090022607e-21	3.11980349580871e-19	102.51193791375	28.603228053585	FBgn0031692	Troponin C at 25D	protein_coding	33752
