baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	expressionh2M8	expressionh2F14	ensembl	description	gene_biotype	entrezgene_id
FBgn0031470	133.188438819849	-2.33083194406358	0.352185555404372	41.4128579423089	1.23244076107888e-10	1.9644640659612e-08	13.2540475708683	2.13629825041842	FBgn0031470		protein_coding	33483
FBgn0037164	314.147316723137	1.96614756411305	0.29845149445319	41.0518651916383	1.4824262997328e-10	2.31917358891532e-08	5.98597064510744	20.9896452342417	FBgn0037164		protein_coding	40469
FBgn0052318	26.214242119587	-8.12356806612744	1.38874128668976	40.9270928300073	1.58015316651739e-10	2.4271152637707e-08	4.9309225414069	0	FBgn0052318		protein_coding	2768976
FBgn0037678	4766.22230513667	2.79255142729168	0.411703618473055	40.2840976303528	2.19589126012126e-10	3.31265881526865e-08	85.7482397775846	581.153168011014	FBgn0037678		protein_coding	41111
FBgn0033048	208.582804980143	3.89227413672559	0.558662376866444	40.1390692832576	2.36511178210345e-10	3.50534462021226e-08	0.658838531341675	9.64693328722457	FBgn0033048		protein_coding	35521
FBgn0034582	7847.02656710945	3.72592271935619	0.528594161024099	40.0365823413874	2.4925094720723e-10	3.63046896897704e-08	55.1200526328302	587.694075433879	FBgn0034582	Chitinase 9	protein_coding	37392
FBgn0033302	372.956519171177	3.17863640348357	0.468094205492239	39.7658924712829	2.86301435672515e-10	4.09944835349391e-08	2.65522999254664	15.4143001331931	FBgn0033302	Cytochrome P450 6a14	protein_coding	35835
FBgn0259715	470.883496393307	1.91539321584976	0.297928997958853	39.0304027483397	4.17256662276152e-10	5.87497380484822e-08	8.27526385727998	30.7084614801544	FBgn0259715		protein_coding	33894
FBgn0034010	750.631980583988	-2.72202221990003	0.410546066058508	38.9481119825958	4.35221003282074e-10	6.02745415692944e-08	379.405658348674	52.0275668685298	FBgn0034010		protein_coding	36700
FBgn0050104	978.971658441456	-1.8319842759064	0.286920442981995	38.4633095631861	5.57927846316325e-10	7.60221684787147e-08	41.7040185526336	10.3319860684747	FBgn0050104	Ecto-5'-nucleotidase 2	protein_coding	246458
FBgn0036109	191.948455293364	2.47645297422603	0.384410704782189	38.0431920450854	6.9195732735931e-10	9.27881825639913e-08	10.2004963221853	42.4010871913232	FBgn0036109	Cuticular protein 67Fa2	protein_coding	39224
FBgn0032779	1518.34218044593	2.6791627000072	0.40994655956496	37.8489680779316	7.64388051483416e-10	1.00899222795811e-07	12.2303007744657	62.1858866837791	FBgn0032779	Alkaline phosphatase 12	protein_coding	35218
FBgn0030693	1261.16785754574	-1.65257835654563	0.263430304362095	37.4893288424789	9.19144881679262e-10	1.19460553237329e-07	88.7642117768842	24.8348049688739	FBgn0030693	suppression of retinal degeneration disease 1 upon overexpression 1	protein_coding	32532
FBgn0028948	32.6851390377462	4.81199342188679	0.800610920872069	36.5110697596008	1.51801695615386e-09	1.94306170387694e-07	0.21542143390594	3.87799559883866	FBgn0028948		protein_coding	34916
RR48344_transposable_element	392.949051363405	1.91950773005179	0.309796130259371	36.2308707500565	1.75272005671212e-09	2.20999687150806e-07	1.00220521292018	3.34628454416455	RR48344_transposable_element		transposable_element	NA
FBgn0011834	210.655849906982	2.51832830084415	0.400995429277175	36.119653214604	1.8556586758699e-09	2.3053830137866e-07	4.34073416543735	23.7589611301336	FBgn0011834	Serine protease 6	protein_coding	33073
FBgn0034837	66.2728879820737	6.41585339099317	1.00572822422423	35.8742208280088	2.10475186064908e-09	2.57694836503818e-07	0	4.7688689838458	FBgn0034837	Ribosomal protein L22-like	protein_coding	37684
FBgn0026190	1020.62049399622	-1.64522769465013	0.268733301006784	35.7486984570843	2.24481890204513e-09	2.70917572635389e-07	47.9955870849078	13.0377343903785	FBgn0026190	prolyl-4-hydroxylase-alpha MP	protein_coding	43624
FBti0215395	611.183969718663	-2.40290917360847	0.383891624969743	35.6365454643645	2.3778452135544e-09	2.82930089635317e-07	10.184133546295	1.49988939307156	FBti0215395		transposable_element	NA
FBgn0033521	77.1538053194996	-4.29859981079997	0.669501564540034	35.5739459158989	2.45549891709689e-09	2.88111872939368e-07	13.7418246166751	0.600152517689641	FBgn0033521		protein_coding	36101
FBgn0031741	747.126371332379	-2.77978417884971	0.441198791930718	34.9943458554082	3.30664111622442e-09	3.82664440409094e-07	31.166065240692	4.28516039567613	FBgn0031741		protein_coding	33810
FBgn0000640	26957.6910701483	4.86890990132231	0.701580440249307	34.7894244714524	3.6736358598009e-09	4.19390212751325e-07	107.257301354483	2203.67697315998	FBgn0000640	Fat body protein 2	protein_coding	34259
FBgn0031940	975.221617961915	2.25798324802987	0.371402660326247	33.8609571918765	5.91947646478869e-09	6.66769828993798e-07	20.6228775538721	102.105600867151	FBgn0031940		protein_coding	34053
FBgn0043578	275.514924111025	-4.78310107456288	0.718165260374119	33.7615867556537	6.22968912297434e-09	6.92479127774832e-07	72.2513954434944	0.750106196095595	FBgn0043578	Peptidoglycan recognition protein SB1	protein_coding	39870
FBgn0034247	280.05589800741	2.83925851845754	0.462055754410585	33.4943736341241	7.14704399278398e-09	7.84132826636871e-07	2.35270563583762	18.5112727365832	FBgn0034247		protein_coding	36994
FBgn0053868	21.4420706436965	7.90337652000675	1.44285014971527	32.7215754895553	1.06350169368492e-08	1.15185414208335e-06	0	6.63107391649954	FBgn0053868	His2B:CG33868	protein_coding	3772265
