baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	expressionh1M8	expressionko	ensembl	description	gene_biotype	entrezgene_id
FBgn0038508	159.276595875896	-4.23179833356334	0.39903007555834	102.272525576916	4.83856400555147e-24	7.05297914936875e-22	1.1537643802952	28.1530643704829	FBgn0038508		protein_coding	42097
FBgn0042106	39.4953223184839	5.97585444899281	0.804179548889987	101.863429721246	5.94846068406922e-24	8.4901883638663e-22	4.4366132002552	0.0499263795806564	FBgn0042106		protein_coding	59145
FBgn0030313	91.8996586824502	-3.01048744044844	0.306273630445592	98.7996357955444	2.79385847375655e-23	3.90627028647064e-21	1.68428813989401	10.2642167117359	FBgn0030313	Receptor accessory protein like 1	protein_coding	32103
FBgn0266671	737.305301734101	1.59068575227396	0.160904710140948	94.3310799702576	2.6692610181057e-22	3.65742144700842e-20	26.3725792046624	7.94413179878982	FBgn0266671	Secretory 6	protein_coding	37142
FBti0018968	949.383876570818	-2.75505362574543	0.268365095547089	93.7716115232422	3.54114470887107e-22	4.75693772558347e-20	2.5519649116404	13.6047735390709	FBti0018968		transposable_element	NA
FBgn0032049	574.264607222766	4.50064495635785	0.413724361960543	92.8258948917188	5.71031032763211e-22	7.5233338566553e-20	51.9308569096177	1.71643445575232	FBgn0032049	beta-site APP-cleaving enzyme	protein_coding	34182
FBti0020099	744.448208494628	-3.23843023505958	0.312681749426843	92.1983854882914	7.84087109037876e-22	1.01354354415443e-19	1.73204830094339	14.2545949659557	FBti0020099		transposable_element	NA
FBgn0050489	799.215902258783	-3.03087304351559	0.29627514379007	91.2832264582744	1.24511624743616e-21	1.57968359466391e-19	6.16279562937183	40.8142111215276	FBgn0050489	Cytochrome P450 12d1 proximal	protein_coding	246648
FBgn0261434	56.8078337312783	4.567093327606	0.516575008419456	91.2297611325554	1.27921729862743e-21	1.593439584163e-19	3.83389504132304	0.16265089629176	FBgn0261434	huckebein	protein_coding	40549
FBgn0261847	83.3067746167185	7.24906507974129	0.747762821316994	88.6050137844664	4.8206580730375e-21	5.89755865328213e-19	69.5521689267561	0.54233155721055	FBgn0261847		protein_coding	10178912
FBgn0053225	396.665978220376	3.45238832222818	0.348225390933956	84.3249644666218	4.19781016415906e-20	5.01320724230493e-18	47.8547744857359	4.06497656046935	FBgn0053225		protein_coding	2768860
FBgn0288686	14734.412813986	3.15300858645234	0.316340552410377	84.3032637361852	4.24413983438455e-20	5.01320724230493e-18	628.105575718955	49.4629850082495	FBgn0288686	beta-Tubulin at 60D	protein_coding	37888
FBgn0262531	233.72745793279	2.28997646162499	0.244322154809987	83.5282574919798	6.28116872087161e-20	7.29360795028668e-18	32.0389669801695	5.16138885028793	FBgn0262531		protein_coding	12797926
FBgn0004429	101.445436859178	-2.96877337645324	0.322119172777763	83.3297521258294	6.94464923498438e-20	7.929631984813e-18	2.87285878193239	19.0598230941145	FBgn0004429	Lysozyme P	protein_coding	38129
FBgn0267698	2076.64912050411	1.26384612543068	0.137960648088925	81.6541307001107	1.6211263315901e-19	1.82071090126619e-17	52.1574270798064	19.0179983605088	FBgn0267698	p21-activated kinase	protein_coding	44039
FBgn0032161	125.902325347321	-3.10518017288164	0.338469858212444	79.6104417614442	4.56009165147199e-19	5.03890127487655e-17	1.57964270319008	11.88543961623	FBgn0032161		protein_coding	34316
FBgn0028945	94.2038809622619	-5.41165165543706	0.603203575959451	79.5435540621442	4.71711266141494e-19	5.12967283227837e-17	0.379470795260347	15.5627207431472	FBgn0028945		protein_coding	34919
FBgn0030693	1236.19230767803	-1.57704328566412	0.173570579414098	79.2586164741338	5.4489198138346e-19	5.80558884994834e-17	29.1465611918545	75.2719946637932	FBgn0030693	suppression of retinal degeneration disease 1 upon overexpression 1	protein_coding	32532
FBti0019183	1033.6628003709	-4.42845199095748	0.436591049596741	79.2372571732695	5.50814881399273e-19	5.80558884994834e-17	1.07243654486445	18.0780666755833	FBti0019183		transposable_element	NA
FBgn0259998	14343.8658168401	3.28650898669264	0.339449713641785	78.6042869386552	7.58845620091253e-19	7.87704748976541e-17	1648.49338084187	141.252097809811	FBgn0259998		protein_coding	35409
FBgn0053508	39.6456378804052	-4.51012189822396	0.575799917656932	78.3935865246725	8.44258245411807e-19	8.63285558106909e-17	0.142285059506887	2.73395453717324	FBgn0053508	pickpocket 13	protein_coding	3346226
FBti0019469	2471.18349600144	-2.53068651473209	0.27213124504445	77.5626879626033	1.28576209492178e-18	1.29540531063369e-16	6.59624094394234	37.00848886375	FBti0019469		transposable_element	NA
FBgn0028699	244.009855939337	-2.04695065641331	0.230924959566119	75.4190036043883	3.80708127795252e-18	3.78004548336996e-16	2.9477758124452	11.9419741711583	FBgn0028699	Rh50	protein_coding	38589
FBgn0033756	89.2709189429241	3.16385417773803	0.37541749529317	68.4334499363604	1.31232511715796e-16	1.28439133966417e-14	5.78664835733953	0.666874125327653	FBgn0033756		protein_coding	36385
FBgn0052819	56.8717162753119	4.50850909793422	0.55966017247048	68.3804186123435	1.34809590745579e-16	1.30081761436333e-14	2.47039040671579	0.102999648844988	FBgn0052819		protein_coding	318227
FBgn0028864	153.91940851917	-3.17286079913702	0.367802646923267	67.9449979401869	1.6812036337872e-16	1.57779809521591e-14	1.40851459835232	11.2262357831943	FBgn0028864		protein_coding	34922
FBgn0051780	153.91940851917	-3.17286079913702	0.367802646923267	67.9449979401869	1.6812036337872e-16	1.57779809521591e-14	1.40851459835232	11.2262357831943	FBgn0051780		protein_coding	318937
FBgn0030956	194.885785657805	1.72472875236068	0.209563577687584	66.5105265924917	3.48030073119567e-16	3.22210004181372e-14	7.90612563454496	1.98341122130848	FBgn0030956		protein_coding	32866
FBgn0032024	232.661968983026	2.11271735676362	0.253186891289945	66.4571847797373	3.57576639027634e-16	3.26634340530443e-14	21.7240179216037	4.78643125755449	FBgn0032024		protein_coding	34146
FBgn0052820	57.6549368768207	4.52903589889813	0.569715607549777	65.5473120656947	5.67354492491076e-16	5.11440214217942e-14	2.47039040671579	0.102999648844988	FBgn0052820		protein_coding	318228
FBgn0013279	152.305419522296	4.28464236791108	0.493539007873737	64.2815678654589	1.07850001644479e-15	9.59584884761462e-14	6.81696916641965	0.275456645514599	FBgn0013279	Heat shock protein 70 Bc	protein_coding	48583
FBgn0037974	330.56698215641	2.92840167535507	0.345433942125842	64.0332320015075	1.22338107291967e-15	1.07453637571445e-13	33.369480169052	3.75250438769881	FBgn0037974		protein_coding	41453
FBgn0034720	336.894523514331	1.50787311429231	0.188026258971582	62.7951620338021	2.29361544304057e-15	1.98905815193303e-13	6.16354813567056	1.57407830486832	FBgn0034720	Liprin-gamma	protein_coding	37552
FBgn0033065	543.510317005643	1.69013152307314	0.209273448257468	62.5909202442799	2.5442373060571e-15	2.17882122297465e-13	29.29640505841	8.1993024636411	FBgn0033065	Cytochrome P450 6w1	protein_coding	35543
FBgn0034429	249.43760196981	-4.25908848089621	0.487289259938148	62.5479252899352	2.60039090531716e-15	2.19941704843554e-13	1.81718425330538	46.3244258836435	FBgn0034429	Arylalkylamine N-acetyltransferase-like 4	protein_coding	37213
FBgn0015872	851.351324863862	1.1850835301598	0.15137765141259	60.0644145584626	9.18032059232495e-15	7.67004589975832e-13	52.9710784519361	17.7554853599559	FBgn0015872	Drip	protein_coding	36236
FBgn0034437	808.328908267825	-2.34132953239419	0.29077939424321	59.3067399718698	1.34913660876827e-14	1.11360661526162e-12	4.8367653940534	24.0593107492509	FBgn0034437		protein_coding	37222
FBgn0037225	82.4157317336953	2.8871529477082	0.370758469874962	59.016460324039	1.563584999268e-14	1.27525247976013e-12	6.08133311949184	1.07006084066704	FBgn0037225	TweedleG	protein_coding	40535
FBgn0263111	244.090095053372	-2.25807437481375	0.286027267538721	58.5865479584127	1.94542053739102e-14	1.56800895313716e-12	0.572955492092203	2.210343712111	FBgn0263111	cacophony	protein_coding	32158
