baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	expressionh2F14	expressionwt	ensembl	description	gene_biotype	entrezgene_id
FBgn0033942	365.564046920314	3.26124101233714	0.410237493276228	54.3516250569697	1.67639307292098e-13	2.0417981717142e-11	64.3020326732469	8.90064935393348	FBgn0033942	Cuticular protein 51A	protein_coding	36613
FBgn0020270	405.365619409831	-1.27998000262506	0.172963437478842	53.7861788484993	2.23539729232956e-13	2.68375412067681e-11	5.86828179450379	17.0325269215974	FBgn0020270	meiotic recombination 11	protein_coding	34565
FBgn0034317	136.278014156417	5.76362128106408	0.710407284478674	52.8975080545098	3.51415111772677e-13	4.15956704132053e-11	21.3231214280796	0.467862716500672	FBgn0034317		protein_coding	37086
FBgn0014931	241.938200426654	3.72904078484284	0.473427900119734	52.1000399136649	5.27438570127004e-13	6.15638019909353e-11	9.89724425009772	1.02410292954142	FBgn0014931		protein_coding	40937
FBgn0262577	359.462415228218	1.44156979413742	0.198360567894426	51.4415404772637	7.37611393840007e-13	8.49162486826222e-11	295.588873184822	131.460099749445	FBgn0262577		protein_coding	12798272
FBgn0010041	66.6892679819942	2.90914613358279	0.402245827935552	50.6033184187638	1.13053726953543e-12	1.28392367745619e-10	8.72922019478799	1.53947580299293	FBgn0010041	Glutathione S transferase D5	protein_coding	48338
FBgn0037518	266.894393463112	1.85573129389216	0.256684375099523	50.0189343195958	1.52269533573846e-12	1.67995665096569e-10	16.2275363840598	5.1506216945511	FBgn0037518		protein_coding	40921
FBgn0037973	838.682182228083	1.22257381105437	0.170886524656562	49.9977455137648	1.53922729800521e-12	1.67995665096569e-10	60.9723411058608	28.8510919152165	FBgn0037973		protein_coding	41452
FBgn0039321	522.160523959437	-2.3783364218952	0.321990905420649	50.0330553232555	1.51177661012408e-12	1.67995665096569e-10	6.04266466290848	40.3425593686114	FBgn0039321		protein_coding	43061
FBti0019469	3868.7766253689	2.38715516091049	0.322106272685329	49.6826013176817	1.80741646283938e-12	1.94737537867976e-10	55.510491952082	13.0617890392896	FBti0019469		transposable_element	NA
FBti0019621	1262.93533008392	2.13876743386306	0.29460178889105	48.7066005574483	2.9726429347273e-12	3.16229002828458e-10	19.701726437238	5.70774515106997	FBti0019621		transposable_element	NA
FBgn0050288	218.098121898812	1.25992291316858	0.181388742767276	47.7812706740381	4.76522657499724e-12	4.94406964645393e-10	18.7617037048813	8.95017856860883	FBgn0050288		protein_coding	246531
FBgn0039473	248.566374968934	5.9415730665379	0.738643857898834	46.9717913751947	7.20157968519775e-12	7.38074093590267e-10	29.4829881959418	0.473189401234543	FBgn0039473		protein_coding	43249
FBgn0262563	133.12943096265	1.65891632250336	0.243035699643038	45.7876669686946	1.3179066894215e-11	1.33442021902389e-09	37.6676018139504	13.6857629872184	FBgn0262563		protein_coding	12798325
