baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	expressionh2F14	expressionko	ensembl	description	gene_biotype	entrezgene_id
FBgn0051810	217.561563605464	4.4361228465927	0.562855239123647	50.1950769092744	1.39196592121755e-12	1.91668736044796e-10	23.0987488292614	1.07360048454375	FBgn0051810		protein_coding	318955
FBgn0025454	2721.64788298031	3.08980214609257	0.407314854794467	49.1985534080367	2.31321231586307e-12	3.02325087586781e-10	128.478317688606	12.1393402462269	FBgn0025454	Cytochrome P450 6g1	protein_coding	36316
FBgn0038508	173.084963119469	-3.28751415262168	0.440686402084863	49.2091955302182	2.30069666025117e-12	3.02325087586781e-10	3.58069858054454	28.1530643704829	FBgn0038508		protein_coding	42097
FBti0061663	27.5321594282048	8.15792665436365	1.3426820339182	49.2095351594748	2.30029835744581e-12	3.02325087586781e-10	5.79929829927663	0	FBti0061663		transposable_element	NA
FBgn0034582	5335.306775363	-3.15380771657207	0.415358955250894	48.957099792264	2.61622531830591e-12	3.36228557157615e-10	55.1200526328302	456.917618611619	FBgn0034582	Chitinase 9	protein_coding	37392
FBgn0051436	283.710376627595	1.58472498455864	0.224510070430081	48.4203695652994	3.43976599662959e-12	4.34820255737882e-10	19.49288803629	4.60905491792052	FBgn0051436		protein_coding	318734
FBgn0026602	799.59366314518	-1.79300137147725	0.250962717242944	48.368868476724	3.53129999843773e-12	4.39191198192796e-10	9.56997184371638	26.439396712513	FBgn0026602	Adenosine kinase 3	protein_coding	44750
FBgn0053926	1356.60691711402	-1.91924277788039	0.268195449885739	48.0311461960401	4.19502097484603e-12	5.1345724979425e-10	53.2696623858989	165.346310539346	FBgn0053926		protein_coding	39092
FBgn0002533	102143.023580871	-3.76395805952741	0.490351336269663	47.2586288299359	6.22115120090727e-12	7.49551514221812e-10	1951.49615799616	22196.3134862597	FBgn0002533	Larval cuticle protein 2	protein_coding	35818
FBgn0032088	722.681031651307	-2.02901041901904	0.285296241290835	47.1923785903271	6.43501737966482e-12	7.63391061763006e-10	42.6144607382875	153.451232904355	FBgn0032088		protein_coding	34228
FBgn0033697	63.2575898815855	-3.38451744559944	0.481731868682566	46.9427532493842	7.30907488585327e-12	8.53943582497191e-10	0.360977862621801	3.62087060009837	FBgn0033697	Cytochrome P450 6t3	protein_coding	36318
FBgn0031653	65598.4727906089	-2.39197551676104	0.33331337090419	46.5022256467471	9.15144492139764e-12	1.05323569834175e-09	1730.01297031491	8047.8208450135	FBgn0031653	Jonah 25Biii	protein_coding	33706
FBgn0038083	1758.47912547518	1.44785715105965	0.210812036705556	45.4435485239121	1.57102160849545e-11	1.78149229751594e-09	93.8021824083034	25.2701032500155	FBgn0038083	UDP-glycosyltransferase family 37 member A3	protein_coding	41574
FBgn0052318	25.9088432989149	8.0859510879004	1.35845737416415	45.3847209291548	1.61892408292449e-11	1.80920631933779e-09	4.9309225414069	0	FBgn0052318		protein_coding	2768976
FBgn0261575	422.401816227722	-5.90937889593227	0.74252789071469	44.0194649390469	3.25126499499365e-11	3.58150062519944e-09	0.381943585222432	20.6116185288752	FBgn0261575	target of brain insulin	protein_coding	43072
FBgn0014931	220.506528474768	3.37366505394737	0.475199312205923	43.4236782772584	4.40821558252373e-11	4.78757047279443e-09	9.89724425009772	1.03031286571013	FBgn0014931		protein_coding	40937
FBgn0052751	224.994604493429	-3.31759311122621	0.470435743181074	43.0595610327842	5.30984950396251e-11	5.68670132292429e-09	1.24906289691313	12.401436875357	FBgn0052751		protein_coding	318189
