baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	expressionh2M8	expressionwt	ensembl	description	gene_biotype	entrezgene_id
FBgn0033593	619.593492688161	-3.51300647293622	0.368321367164192	76.6625011116024	2.02818139027385e-18	3.06762435278919e-16	19.8290110690002	290.166649229948	FBgn0033593	Listericin	protein_coding	36183
FBgn0051265	355.471459836271	2.87662565960694	0.311335534516756	76.3079812165175	2.42701004340522e-18	3.60645176625302e-16	36.8618497494048	5.70455705933759	FBgn0051265		protein_coding	42068
FBgn0033729	2771.17270634607	3.72387754583588	0.387826345929896	74.5992683008609	5.76645743873948e-18	8.4210162941592e-16	638.802349335015	88.0359931638195	FBgn0033729	Cuticular protein 49Af	protein_coding	36352
FBgn0028949	110.945944418239	3.60906192185843	0.40155147461624	73.9615664706716	7.9652865122791e-18	1.14349113150854e-15	14.3235406940738	1.71279681463017	FBgn0028949		protein_coding	34915
FBgn0027657	3222.5435864271	4.75746326096674	0.474774474429816	73.7733009339155	8.76238085052044e-18	1.2369560967318e-15	240.269576455059	16.3549333197529	FBgn0027657	globin 1	protein_coding	41930
FBgn0051354	1086.80646665918	4.86296459217968	0.487525104287341	73.4693323909365	1.02211972107729e-17	1.41923836680732e-15	41.2942714719213	1.37128203373278	FBgn0051354	Heat shock protein 70 Bbb	protein_coding	50022
FBti0019898	524.504689188658	-4.43933793869402	0.461998606875822	72.687618518792	1.51883988065364e-17	2.07493125631231e-15	0.221213450859329	8.28959096698767	FBti0019898		transposable_element	NA
FBgn0040260	617.524053850614	2.94393724054052	0.326836809822136	71.1496079274217	3.31138532815218e-17	4.45197360784904e-15	29.76518324825	5.45496265352342	FBgn0040260	UDP-glycosyltransferase family 37 member D1	protein_coding	53511
FBti0060381	48.0619447787563	-8.81278188598529	1.30323412469552	69.9614116835164	6.04760237410129e-17	8.00362376697467e-15	0	3.42746048011908	FBti0060381		transposable_element	NA
FBti0019144	507.593037982813	4.61086276272509	0.487183187553385	68.8657648210234	1.05398686724153e-16	1.37342596392857e-14	5.57804741284281	0.436169116626879	FBti0019144		transposable_element	NA
FBgn0011834	232.184492268235	2.90676538397977	0.333476754239587	68.4955999987579	1.27161014603551e-16	1.63189968741224e-14	23.7589611301336	4.66267270365646	FBgn0011834	Serine protease 6	protein_coding	33073
FBgn0038481	1605.87964125287	3.17660248141037	0.358297901861283	66.9217700227902	2.82497944116462e-16	3.57127998009916e-14	137.6027935289	21.1069890337559	FBgn0038481		protein_coding	42069
FBgn0052284	449.19650507994	4.31941845546875	0.469720266543811	66.7428593609421	3.09335905337569e-16	3.85305164442531e-14	128.273207743712	11.1063756931639	FBgn0052284		protein_coding	317956
FBgn0033048	238.56352794451	2.76050984907735	0.323615221463877	66.1551094702002	4.1679780392944e-16	5.11634405693095e-14	9.64693328722457	1.83737754759834	FBgn0033048		protein_coding	35521
FBgn0038450	93.035763481834	5.1360727061922	0.598559221812982	66.0548700554057	4.38542942945056e-16	5.30636960963518e-14	6.26705340421376	0.234071190398767	FBgn0038450		protein_coding	42022
