median FE,median P,gene
1.29865112271138,14.470551672413764,MROH1
1.6085032482204,14.468365376583355,MYO15A
1.04448335723099,14.447541255445737,FAAH
1.30577635708267,14.350015193017189,FERMT3
1.09006728174874,14.349334313299108,RIMBP2
1.47376572533399,14.320876688244631,LINC02987
1.30436839942941,14.266806497603577,EHMT2-AS1
1.30436839942941,14.266806497603577,SLC44A4
1.19528524353289,14.20621387407239,PERCC1
1.06129690482934,14.158605506424914,TCOF1
1.23820740631254,14.144859480693887,MESP2
1.04841805003471,14.121001738439263,DHX58
1.16805093875527,14.06613196270401,ANAPC11
1.16805093875527,14.06613196270401,ALYREF
1.08360149022153,14.065221436100336,PRCD
1.00824480326391,13.938886017238413,ENG
1.12895498131944,13.910181685761769,CCDC13
1.13831133111265,13.887311651132062,APBB1
1.14318945984421,13.857901267991453,ODC1-DT
1.05612919392225,13.84705636377227,PYGM
1.26580984693652,13.846559925436395,RASL10A
1.07227561032259,13.83430820841938,SHROOM1
1.13276469741652,13.780789349507717,TBC1D24
1.01267416877315,13.751148364475016,LINC01770
1.13023629961445,13.702844562948865,HELZ2
1.05921988115637,13.692805357101243,TAFA5
1.27142197260732,13.669496696642414,MED15
1.40731690038861,13.658090745631926,UNC13D
1.18208334544603,13.55741384742231,ACSF2
1.11269591911574,13.478865641303079,KRTAP10-12
1.05494715405942,13.371340208947728,TRIM46
1.46583515111839,13.340402400980041,KCNT1
1.28193252186972,13.322176069393306,LOC105373071
1.28193252186972,13.322176069393306,LOC107985535
1.36182631740497,13.31324726946423,SLFNL1
1.38344117790754,13.256841728267831,SLC22A7
1.19118386127781,13.217313375953482,AGXT
1.46438808107791,13.21170642743986,GGT1
1.09185443303964,13.132191453341877,DNM2
1.6923211699148,13.1063412523562,NODAL
1.21769902013707,13.097567815010988,VASH1
1.184987899083,13.06991209257857,GPHA2
1.10740985959676,13.023922022161704,TOGARAM2
1.1103773230578,12.988679230676853,CAPN12
1.25021528478406,12.927936993905698,BICDL2
1.25021528478406,12.927936993905698,LOC100128770
1.19550848003544,12.924182095686698,MICALL1
1.17247838171771,12.91922581958452,ADCY3
1.50626366214477,12.879614740613247,POR
1.14911259126499,12.859959212535548,GRN
1.03531793290621,12.76038419067835,LOC105378379
1.21212887887691,12.716433473061663,DOLPP1
1.31140375172864,12.635480188824745,RNF123
1.21188343245094,12.617964005534532,CEACAM16
1.21826847312881,12.556830100855912,GPR78
1.17329569427441,12.55348529853177,TMEM175
1.2305293253304,12.495811853420152,LOC105376316
1.01972507504922,12.474548862102882,LOC105373069
1.01972507504922,12.474548862102882,LOC105373067
1.01972507504922,12.474548862102882,LINC01589
1.24533597635302,12.408720727492232,RNF166
1.42011214566057,12.404551850068943,KCNA2
1.07791948935523,12.380428507902838,MIR4294
1.04397560416382,12.376122946694073,BAHD1
1.13017752228221,12.31191835429009,NUP210
1.13008537676625,12.304017840614526,TH
1.13008537676625,12.304017840614526,MIR4686
1.12342138128566,12.300069730978523,IL17C
1.03803001998926,12.265289188898176,OSBP2
1.00031435413283,12.250938895667087,EMILIN1
1.21847689291178,12.249323134583776,NPM2
1.3898577408205,12.231178065247056,IFFO1
1.0170957572906,12.190908092859553,GH1
1.0170957572906,12.190908092859553,CD79B
1.17084614976793,12.084329180484168,ABCD4
1.08163389149459,11.930535682015256,SPINT1
1.05386150141971,11.927076465366573,ANXA11
1.30388284972953,11.912057497406506,CBX7
1.30370122687001,11.905415673590086,GAL3ST1
1.00468639918554,11.877353458464123,MYCBPAP
1.11809419724234,11.858605328922488,PCDH1
1.0635911538758,11.858556624704162,ZDHHC3
1.17288710568585,11.85234130057491,COMT
1.01957704398494,11.789042891779854,KLF15
1.14653136496742,11.77614425682975,MYO19
1.01642520315186,11.640944139498368,PRSS27
1.30557698116173,11.550723945405528,SIGLEC9
1.29752505786593,11.543343204979541,MMP17
1.08228364077595,11.46352446432811,CSPG4
1.36515131178982,11.45552228238421,CHRD
1.33596776892269,11.419230579636965,PLCB2
1.19825697759228,11.286905675188976,RIPOR1
1.07330941848653,11.266054384552383,MIR6127
1.07330941848653,11.266054384552383,C1QA
1.13605043980093,11.241742069021766,TLE3
1.0800142886237,11.233227208619592,LEFTY2
1.09625585957336,11.219224665348024,SCGB1B2P
1.24858230698282,11.153888971773256,LOC122455340
1.537763779340445,11.092743652608819,COMMD4P1
1.23870227031296,11.058525818000827,GLI1
1.03038321899013,11.022170308463348,GPR55
1.14428317221477,11.007786262501154,CEACAM3
1.1935681055477199,10.969625625407698,PHYHD1
1.11491269979401,10.965743098365383,LOC105371791
1.38016682978766,10.898338601456675,SLC6A11
1.09060661754782,10.868877787795315,ST6GALNAC4-ST6GALNAC6-AK1
1.17207166654711,10.8635891152323,NUP188
1.0599200540696,10.853814387032157,EFNA2
1.17161526037855,10.82454585827297,SEC61A1
1.45415188725809,10.806397436237337,STPG3
1.03705821177173,10.789318518953243,LOC400499
1.17358320361929,10.78033826772856,CYMP-AS1
1.17358320361929,10.78033826772856,CYMP
1.04641766988112,10.731565023391486,SYTL1
1.65004120406066,10.724990031693407,ANKRD65-AS1
1.65004120406066,10.724990031693407,ANKRD65
1.05954070618252,10.70985821036754,LOC343052
