	h1M8_1	h1M8_2	h1M8_3	h2F14_1	h2F14_2	h2F14_3	h2M8_1	h2M8_2	h2M8_3	KO_1	KO_2	KO_3	WT_1	WT_2	WT_3
FBgn0000157	5.66809198539687	3.33568686377989	5.08399369048624	6.21505689714777	8.09591119107833	6.3073827005623	3.45058544471749	1.45713053951554	3.76474221049565	3.56397148254479	5.16578308261767	3.56868725262438	7.61291611922445	7.70349639084862	7.40064731861187
FBgn0000158	0.297362610776226	0.425661590533515	0.256806515385766	0.385208956653458	0.225929735599477	0.351971127853926	0.857305898827358	0.420031393009151	0.163406839592188	0.24772661363614	0.479648040708719	0.249797732465843	0.356815799656018	0.498811339529884	0.231023283256409
FBgn0000163	8.13049701855273	6.3298262954448	9.5980901125821	8.39172726572727	9.77860887492348	2.77893950233974	6.55271012399689	3.23446014942275	8.23236488018529	4.6262482281064	6.73556190803883	4.61955489788826	7.60165689810756	9.16213879068654	10.9781578429532
FBgn0000166	0.0897831506856717	0.221055260717229	0.266914117004989	0.0727491039809161	0.235900601263368	0.132398419586201	0.240721386231934	0.0351235450329028	0.0740876049562268	0.2281398053567	0.171151020281298	0.15112179704343	0.172866831438386	0.176958944765788	0.19644557906375
FBgn0000173	217.93433249846	152.962361767647	201.450967600898	193.926918291021	252.667009126354	184.936915477302	148.240567393468	236.817579887382	136.107390461118	178.415216053053	208.602477843461	205.317260216604	229.530974834942	251.868004863216	331.544546538675
FBgn0000179	4.1095861492773	2.49600782538778	4.03149157419242	4.62559911282614	5.60556668409796	2.27135482208322	3.04263982274885	1.40879580937446	2.55825571008325	2.54697580000548	3.20528932148282	2.42464882769615	3.81799385248786	5.52252518695072	5.91538082273666
FBgn0000180	6.79567866508039	3.9348800536547	6.43221294183186	6.73251457733397	10.832868273835	4.40285294171118	4.70302863258934	1.19973339646734	3.2540240472209	3.20498959700638	4.88725895651931	3.74281269138386	9.16379639654033	10.7868043211514	14.3528849128244
FBgn0000181	338.513203112332	312.672013456371	295.366538359729	317.772327200652	347.316623278059	361.021242835804	337.192383348264	520.667321468871	276.649758040175	299.692297149929	430.689337310761	269.918607622511	388.866257308331	323.269125445341	314.163922817871
FBgn0000182	2.7920926987674	0.964560501061703	1.53988771562766	2.54441555654588	1.48026710063485	1.77478154691621	7.1274812538226	1.93502046222472	2.55131875014394	1.11187284921049	1.86874575828592	0.799399779412454	5.18077553705733	3.18157640260336	2.84772408065599
FBgn0000183	11.8326950013079	10.6632994612727	12.106525037855	14.4262026897865	18.236916593815	12.2705671113831	12.3436579306219	14.567255294636	10.2579296904369	13.2401274455667	16.8731585091685	11.2202515255153	15.1438294235589	19.0103882430173	15.5462981124793
FBgn0000206	0.109691422990428	0.180156974611546	0.0593329941025459	0.0592790338669029	0.128023999106869	0.0269393138721432	0.0905745250782463	0	0	0.101262488889986	0.0928330982996317	0.0462020928691434	0.0937979678583121	0.0540225480113722	0.177922174080043
FBgn0000212	22.7897957445297	17.2835534265175	22.1666311121458	24.1593240795749	28.6124044052601	13.0119123591135	16.7258263511125	5.93997848311131	15.4208947341604	18.1204291557249	20.1975004996722	9.2933925847683	26.9931552126777	33.2131378571682	30.1127412009504
FBgn0000216	3.84575743413034	3.36906007857464	3.13121014808542	3.53259045228282	6.35181218097881	16.9612316607004	5.1639353488635	9.90250065887572	4.52841102020764	4.34596480786129	5.86212346453545	1.98991255937984	7.68254534758461	7.01873065145486	5.12188850379306
