baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	expressionh2M8	expressionwt	ensembl	description	gene_biotype	entrezgene_id
FBgn0036824	5505.93436489549	2.41724724230656	0.224753723637157	115.634926377878	5.71363537281592e-27	1.0932494235688e-24	314.711252042319	80.290569006632	FBgn0036824		protein_coding	40059
FBgn0012034	8988.61851516311	2.56929305483624	0.239754866397922	113.991267982566	1.30883588083273e-26	2.4521585575685e-24	290.276620285262	63.8007401191428	FBgn0012034	Acetyl Coenzyme A synthase	protein_coding	40348
FBti0019373	121.285924341556	-9.81382282829767	1.4949336821992	113.791004157499	1.44792920614162e-26	2.65739333690441e-24	0	2.72826199315295	FBti0019373		transposable_element	NA
FBgn0034052	2715.85817322588	1.93071169857976	0.183942475333999	112.101078881539	3.39550102597344e-26	6.10714814531583e-24	308.302966654801	116.020855948483	FBgn0034052		protein_coding	36751
FBti0019588	95.4276285997368	8.65708114390205	1.14334451332711	111.66058287921	4.24030080682616e-26	7.47706375603679e-24	4.16714571801953	0	FBti0019588		transposable_element	NA
FBgn0043470	664.059750620252	4.81270876699567	0.427829299377252	110.932608333408	6.12167425643285e-26	1.05869647284809e-23	86.618680322534	3.96189510656273	FBgn0043470	lambdaTry	protein_coding	36214
FBgn0259818	1118.67938255498	4.70637197840669	0.420195852721041	109.518263244195	1.24947992161169e-25	2.12010810095358e-23	20.0413616530851	1.05119892463282	FBgn0259818		protein_coding	33176
FBgn0033048	229.051539074719	2.93395301704004	0.28268295600783	108.122198120508	2.52707316245525e-25	4.20851276851113e-23	10.1496058160206	1.83737754759834	FBgn0033048		protein_coding	35521
FBgn0014368	2028.9402958169	5.46943611937741	0.47734140387147	107.358195978286	3.71561974252052e-25	6.075376062634e-23	575.465841639612	13.2739975939472	FBgn0014368	no optic lobe	protein_coding	64867
FBgn0033820	1213.9596488709	6.01785795458165	0.518650319548684	106.931509675335	4.60823196679111e-25	7.40032679952723e-23	210.464304847871	4.08921737889434	FBgn0033820		protein_coding	36471
FBgn0038482	233.646633144587	3.05077906873286	0.295012454987273	106.668966550095	5.26100960606502e-25	8.30039638374434e-23	28.45743232789	4.29223301051165	FBgn0038482		protein_coding	42070
FBgn0017566	5181.08542164212	1.28664923774359	0.126349750395734	106.480568221524	5.78570449790781e-25	8.97083457753189e-23	137.031521955873	76.4001554596851	FBgn0017566	NADH dehydrogenase (ubiquinone) 75 kDa subunit	protein_coding	31762
FBgn0002533	47356.3587837637	3.28728440740762	0.31179920142879	105.951845978097	7.55489242228076e-25	1.1137893041569e-22	11573.5892869496	1557.91246809688	FBgn0002533	Larval cuticle protein 2	protein_coding	35818
FBgn0030593	1904.19968245323	2.80977183392624	0.270642724356624	105.955056104176	7.54266386881394e-25	1.1137893041569e-22	81.6763507351832	16.464362528645	FBgn0030593		protein_coding	32419
FBgn0261847	47.5143180188708	8.07874448295301	1.00203688751953	106.011712004121	7.33006953659977e-25	1.1137893041569e-22	42.6505485541607	0.177684499422411	FBgn0261847		protein_coding	10178912
FBti0019115	257.735847319685	5.40393257153338	0.498538257350431	105.224813702292	1.09035884795676e-24	1.58154792252824e-22	3.33629695480713	0.0835186210609573	FBti0019115		transposable_element	NA
FBgn0040069	2569.52372333132	2.52539082914974	0.245860362462667	105.071341494321	1.17816658841793e-24	1.68178605232419e-22	124.158298647097	26.0730012060701	FBgn0040069	vanin-like	protein_coding	31551
FBgn0002719	14821.4825457885	3.10212776662344	0.300985784787876	102.446526116658	4.43170158484522e-24	6.22723318008016e-22	567.021097684795	92.0733544796959	FBgn0002719	Malic enzyme	protein_coding	47173
FBgn0001285	5390.51558334488	3.18243987357929	0.309928586540363	101.279473798094	7.98792519631631e-24	1.10516017369958e-21	696.954525129486	112.516542758433	FBgn0001285	Jonah 44E	protein_coding	35853
FBgn0025454	3957.18833704563	-1.38609626079863	0.133007324855947	99.5747690083788	1.88895665661699e-23	2.57384654741767e-21	44.0639881321648	161.091858577252	FBgn0025454	Cytochrome P450 6g1	protein_coding	36316
FBgn0043783	968.683628304797	2.69073024126872	0.270347411299173	98.1780237773433	3.82410449334392e-23	5.13286144905102e-21	73.8212701593247	15.6348525156481	FBgn0043783		protein_coding	40406
FBgn0033593	740.581022926262	-3.80566241144925	0.33598083996187	98.0283886867906	4.12427273345827e-23	5.45435068999857e-21	15.7658734869535	290.166649229948	FBgn0033593	Listericin	protein_coding	36183
FBgn0051343	21395.0272137849	3.58690730699206	0.352758963730475	96.6434890174679	8.30048941547832e-23	1.08183045381734e-20	669.420961858081	83.8057339338281	FBgn0051343		protein_coding	326133
FBgn0037714	153.763196608367	3.0987004561201	0.318393700583074	95.4947362855737	1.48285036348109e-22	1.90503904554078e-20	29.5053547346537	4.37189436348558	FBgn0037714		protein_coding	41156
FBgn0010358	171969.010545651	1.55328935022019	0.16208464220737	94.1074230185053	2.98856423062005e-22	3.78537438393889e-20	19868.4828722174	8788.75512963104	FBgn0010358	deltaTrypsin	protein_coding	48343
FBgn0050360	2683.50103102377	-1.87045268455416	0.183859054716227	91.0630770122434	1.39164402097054e-21	1.73820203897057e-19	25.1598525814118	129.938161076894	FBgn0050360	Maltase A6	protein_coding	246565
FBgn0261675	1942.03200120067	3.23083142459437	0.333200083096324	90.2203479301589	2.13059592775748e-21	2.6247190655237e-19	44.0432778878799	5.8489025797466	FBgn0261675	Niemann-Pick type C-1b	protein_coding	33072
FBgn0034247	313.276267461156	3.5341555442263	0.367813162887426	88.7317772201792	4.52143398032131e-21	5.49476429527426e-19	20.1722636308173	2.47819945269118	FBgn0034247		protein_coding	36994
FBgn0023537	4332.08383232509	1.59611282894251	0.171714516828584	88.4681837952063	5.16591184490736e-21	6.19427269616692e-19	167.635624498506	77.8082134333842	FBgn0023537		protein_coding	30995
FBti0020127	254.499015485641	6.52541059753221	0.645155811565257	88.2998150662017	5.62487121491338e-21	6.65585089943631e-19	5.11236854575371	0.11316950990055	FBti0020127		transposable_element	NA
